Alue,Vuosi,"Asuntoväestö, henkilöä","Asuntoväestö, lapsia",Pienituloisten henkilöiden lukumäärä (raja 60 % mediaanista),Pienituloisten lasten lukumäärä asuntoväestössä,Asuntoväestön pienituloisuusaste (raja 60 % mediaanista),Asuntoväestöön kuuluvien lasten pienituloisuusaste,Pitkittyneesti pienituloisten henkilöiden lukumäärä (raja 60 % mediaanista),Pitkittyneesti pienituloisten lasten lukumäärä asuntoväestössä,Pitkittyneesti pienituloisten henkilöiden osuus (raja 60 % mediaanista),Pitkittyneesti pienituloisten lasten osuus asuntoväestössä
KOKO MAA,1995,5040600,,398988,,7.9,,,,,
KOKO MAA,1996,5041451,,442914,,8.8,,,,,
KOKO MAA,1997,5053929,,493319,,9.8,,,,,
KOKO MAA,1998,5063690,,536571,,10.6,,230282,,4.5,
KOKO MAA,1999,5073947,,571191,,11.3,,266694,,5.3,
KOKO MAA,2000,5081354,,612620,,12.1,,297984,,5.9,
KOKO MAA,2001,5094986,,623146,,12.2,,325547,,6.4,
KOKO MAA,2002,5106299,,628984,,12.3,,350589,,6.9,
KOKO MAA,2003,5118759,,658244,,12.9,,369401,,7.2,
KOKO MAA,2004,5133130,,702127,,13.7,,386424,,7.5,
KOKO MAA,2005,5153727,,723550,,14,,404455,,7.8,
KOKO MAA,2006,5172922,,751421,,14.5,,433273,,8.4,
KOKO MAA,2007,5195414,,780656,,15,,454287,,8.7,
KOKO MAA,2008,5219284,,776867,,14.9,,469873,,9,
KOKO MAA,2009,5242156,,776958,,14.8,,476934,,9.1,
KOKO MAA,2010,5264580,1073322,751092,137493,14.3,12.8,468976,,8.9,
KOKO MAA,2011,5282429,1070339,760332,138643,14.4,13,468852,,8.9,
KOKO MAA,2012,5308485,1067260,724316,130948,13.6,12.3,451774,,8.5,
KOKO MAA,2013,5331783,1065140,705067,128904,13.2,12.1,435352,61913,8.2,5.8
KOKO MAA,2014,5351173,1064186,694464,128536,13,12.1,423023,60212,7.9,5.7
KOKO MAA,2015,5363637,1061140,682576,125019,12.7,11.8,411414,57957,7.7,5.5
KOKO MAA,2016,5377099,1059430,682369,123453,12.7,11.7,404020,56680,7.5,5.4
KOKO MAA,2017,5385972,1053753,689857,123850,12.8,11.8,398408,55354,7.4,5.3
KOKO MAA,2018,5390540,1045343,704145,127202,13.1,12.2,403055,55666,7.5,5.3
KOKO MAA,2019,5399397,1036177,721114,128105,13.4,12.4,415830,57339,7.7,5.5
KOKO MAA,2020,5411922,1029134,678789,114263,12.5,11.1,407051,53041,7.5,5.2
KOKO MAA,2021,5428508,1022200,718658,121798,13.2,11.9,421577,54946,7.8,5.4
KOKO MAA,2022,5443431,1012996,730770,118880,13.4,11.7,425910,53234,7.8,5.3
Akaa,1995,15765,,1331,,8.4,,,,,
Akaa,1996,15692,,1399,,8.9,,,,,
Akaa,1997,15618,,1657,,10.6,,,,,
Akaa,1998,15647,,1855,,11.9,,794,,5.1,
Akaa,1999,15745,,1900,,12.1,,964,,6.1,
Akaa,2000,15716,,2009,,12.8,,1096,,7,
Akaa,2001,15763,,1993,,12.6,,1196,,7.6,
Akaa,2002,15849,,1895,,12,,1165,,7.4,
Akaa,2003,15991,,2043,,12.8,,1192,,7.5,
Akaa,2004,16017,,2130,,13.3,,1213,,7.6,
Akaa,2005,16082,,2129,,13.2,,1270,,7.9,
Akaa,2006,16254,,2234,,13.7,,1323,,8.1,
Akaa,2007,16427,,2256,,13.7,,1418,,8.6,
Akaa,2008,16526,,2282,,13.8,,1433,,8.7,
Akaa,2009,16565,,2205,,13.3,,1394,,8.4,
Akaa,2010,16705,3811,2161,412,12.9,10.8,1403,,8.4,
Akaa,2011,16751,3791,2141,392,12.8,10.3,1393,,8.3,
Akaa,2012,16796,3775,1972,335,11.7,8.9,1339,,8,
Akaa,2013,16786,3778,1859,323,11.1,8.5,1233,136,7.3,3.6
Akaa,2014,16727,3740,1818,343,10.9,9.2,1216,151,7.3,4
Akaa,2015,16706,3699,1841,341,11,9.2,1135,145,6.8,3.9
Akaa,2016,16602,3649,1946,374,11.7,10.2,1186,165,7.1,4.5
Akaa,2017,16442,3568,1888,336,11.5,9.4,1161,143,7.1,4
Akaa,2018,16277,3513,1938,351,11.9,10,1206,164,7.4,4.7
Akaa,2019,16135,3428,2057,376,12.7,11,1267,188,7.9,5.5
Akaa,2020,16052,3324,1858,340,11.6,10.2,1225,177,7.6,5.3
Akaa,2021,16143,3307,1990,353,12.3,10.7,1306,182,8.1,5.5
Akaa,2022,16110,3220,1881,297,11.7,9.2,1313,172,8.2,5.3
Alajärvi,1995,11744,,1356,,11.5,,,,,
Alajärvi,1996,11703,,1458,,12.5,,,,,
Alajärvi,1997,11623,,1513,,13,,,,,
Alajärvi,1998,11535,,1604,,13.9,,753,,6.5,
Alajärvi,1999,11458,,1713,,15,,951,,8.3,
Alajärvi,2000,11326,,1711,,15.1,,960,,8.5,
Alajärvi,2001,11159,,1869,,16.7,,1054,,9.4,
Alajärvi,2002,10982,,1805,,16.4,,1113,,10.1,
Alajärvi,2003,10864,,1830,,16.8,,1158,,10.7,
Alajärvi,2004,10800,,1894,,17.5,,1120,,10.4,
Alajärvi,2005,10728,,1982,,18.5,,1178,,11,
Alajärvi,2006,10579,,1974,,18.7,,1263,,11.9,
Alajärvi,2007,10499,,1989,,18.9,,1302,,12.4,
Alajärvi,2008,10429,,1925,,18.5,,1347,,12.9,
Alajärvi,2009,10347,,1973,,19.1,,1356,,13.1,
Alajärvi,2010,10260,2382,1785,399,17.4,16.8,1250,,12.2,
Alajärvi,2011,10082,2339,1875,439,18.6,18.8,1215,,12.1,
Alajärvi,2012,10018,2304,1684,398,16.8,17.3,1174,,11.7,
Alajärvi,2013,9984,2281,1752,479,17.5,21,1170,242,11.7,10.6
Alajärvi,2014,9941,2265,1611,443,16.2,19.6,1113,249,11.2,11
Alajärvi,2015,9770,2201,1572,442,16.1,20.1,1074,251,11,11.4
Alajärvi,2016,9686,2163,1549,409,16,18.9,1042,240,10.8,11.1
Alajärvi,2017,9590,2108,1588,400,16.6,19,1061,245,11.1,11.6
Alajärvi,2018,9456,2054,1573,385,16.6,18.7,1054,222,11.1,10.8
Alajärvi,2019,9306,2001,1535,378,16.5,18.9,1040,222,11.2,11.1
Alajärvi,2020,9163,1965,1454,367,15.9,18.7,1003,212,10.9,10.8
Alajärvi,2021,9058,1908,1473,367,16.3,19.2,1003,209,11.1,11
Alajärvi,2022,8929,1854,1411,317,15.8,17.1,930,165,10.4,8.9
Alavieska,1995,3026,,342,,11.3,,,,,
Alavieska,1996,2996,,392,,13.1,,,,,
Alavieska,1997,3012,,474,,15.7,,,,,
Alavieska,1998,2978,,496,,16.7,,253,,8.5,
Alavieska,1999,2941,,468,,15.9,,274,,9.3,
Alavieska,2000,2890,,469,,16.2,,287,,9.9,
Alavieska,2001,2853,,455,,15.9,,277,,9.7,
Alavieska,2002,2846,,455,,16,,314,,11,
Alavieska,2003,2839,,477,,16.8,,295,,10.4,
Alavieska,2004,2839,,499,,17.6,,325,,11.4,
Alavieska,2005,2792,,518,,18.6,,346,,12.4,
Alavieska,2006,2774,,496,,17.9,,364,,13.1,
Alavieska,2007,2743,,567,,20.7,,349,,12.7,
Alavieska,2008,2697,,557,,20.7,,358,,13.3,
Alavieska,2009,2711,,519,,19.1,,377,,13.9,
Alavieska,2010,2718,716,512,134,18.8,18.7,387,,14.2,
Alavieska,2011,2688,697,514,136,19.1,19.5,366,,13.6,
Alavieska,2012,2702,681,489,130,18.1,19.1,357,,13.2,
Alavieska,2013,2683,664,480,120,17.9,18.1,356,82,13.3,12.3
Alavieska,2014,2636,641,423,109,16,17,305,71,11.6,11.1
Alavieska,2015,2639,659,464,119,17.6,18.1,307,69,11.6,10.5
Alavieska,2016,2585,620,464,115,17.9,18.5,313,64,12.1,10.3
Alavieska,2017,2556,613,419,94,16.4,15.3,291,57,11.4,9.3
Alavieska,2018,2514,606,453,131,18,21.6,296,57,11.8,9.4
Alavieska,2019,2463,583,413,98,16.8,16.8,312,62,12.7,10.6
Alavieska,2020,2461,592,392,93,15.9,15.7,285,55,11.6,9.3
Alavieska,2021,2437,578,406,87,16.7,15.1,266,44,10.9,7.6
Alavieska,2022,2396,556,404,97,16.9,17.4,273,50,11.4,9
Alavus,1995,13292,,1254,,9.4,,,,,
Alavus,1996,13102,,1485,,11.3,,,,,
Alavus,1997,13085,,1669,,12.8,,,,,
Alavus,1998,13057,,1693,,13,,839,,6.4,
Alavus,1999,12954,,1873,,14.5,,968,,7.5,
Alavus,2000,12928,,2027,,15.7,,1118,,8.6,
Alavus,2001,12821,,1991,,15.5,,1166,,9.1,
Alavus,2002,12694,,1948,,15.3,,1159,,9.1,
Alavus,2003,12648,,2097,,16.6,,1256,,9.9,
Alavus,2004,12620,,2214,,17.5,,1384,,11,
Alavus,2005,12634,,2176,,17.2,,1371,,10.9,
Alavus,2006,12538,,2291,,18.3,,1484,,11.8,
Alavus,2007,12512,,2352,,18.8,,1584,,12.7,
Alavus,2008,12448,,2350,,18.9,,1627,,13.1,
Alavus,2009,12329,,2336,,18.9,,1633,,13.2,
Alavus,2010,12205,2732,2281,543,18.7,19.9,1556,,12.7,
Alavus,2011,12131,2678,2272,518,18.7,19.3,1582,,13,
Alavus,2012,12094,2638,2076,448,17.2,17,1470,,12.2,
Alavus,2013,11993,2616,1917,421,16,16.1,1422,253,11.9,9.7
Alavus,2014,11860,2558,1739,362,14.7,14.2,1265,218,10.7,8.5
Alavus,2015,11811,2538,1683,356,14.2,14,1198,184,10.1,7.2
Alavus,2016,11681,2475,1784,386,15.3,15.6,1203,201,10.3,8.1
Alavus,2017,11463,2394,1895,442,16.5,18.5,1190,213,10.4,8.9
Alavus,2018,11303,2337,1894,430,16.8,18.4,1221,224,10.8,9.6
Alavus,2019,11225,2314,1878,420,16.7,18.2,1293,238,11.5,10.3
Alavus,2020,11070,2282,1666,374,15,16.4,1214,206,11,9
Alavus,2021,10978,2250,1760,395,16,17.6,1203,206,11,9.2
Alavus,2022,10882,2195,1793,358,16.5,16.3,1200,202,11,9.2
Asikkala,1995,8694,,838,,9.6,,,,,
Asikkala,1996,8630,,982,,11.4,,,,,
Asikkala,1997,8598,,973,,11.3,,,,,
Asikkala,1998,8513,,1031,,12.1,,535,,6.3,
Asikkala,1999,8547,,1108,,13,,618,,7.2,
Asikkala,2000,8541,,1188,,13.9,,682,,8,
Asikkala,2001,8549,,1219,,14.3,,700,,8.2,
Asikkala,2002,8525,,1066,,12.5,,710,,8.3,
Asikkala,2003,8448,,1214,,14.4,,752,,8.9,
Asikkala,2004,8429,,1336,,15.9,,777,,9.2,
Asikkala,2005,8446,,1345,,15.9,,851,,10.1,
Asikkala,2006,8479,,1406,,16.6,,898,,10.6,
Asikkala,2007,8553,,1322,,15.5,,878,,10.3,
Asikkala,2008,8480,,1383,,16.3,,907,,10.7,
Asikkala,2009,8432,,1351,,16,,913,,10.8,
Asikkala,2010,8436,1614,1253,214,14.9,13.3,883,,10.5,
Asikkala,2011,8370,1532,1265,213,15.1,13.9,832,,9.9,
Asikkala,2012,8306,1516,1195,199,14.4,13.1,796,,9.6,
Asikkala,2013,8261,1488,1192,209,14.4,14,758,78,9.2,5.2
Asikkala,2014,8226,1471,1177,217,14.3,14.8,787,98,9.6,6.7
Asikkala,2015,8137,1442,1098,183,13.5,12.7,732,89,9,6.2
Asikkala,2016,8138,1424,1118,183,13.7,12.9,742,90,9.1,6.3
Asikkala,2017,8113,1423,1092,162,13.5,11.4,694,66,8.6,4.6
Asikkala,2018,8018,1376,1064,157,13.3,11.4,671,62,8.4,4.5
Asikkala,2019,7961,1344,1029,176,12.9,13.1,652,67,8.2,5
Asikkala,2020,7915,1319,962,174,12.2,13.2,592,54,7.5,4.1
Asikkala,2021,7846,1339,1039,199,13.2,14.9,616,81,7.9,6
Asikkala,2022,7836,1303,1069,204,13.6,15.7,670,99,8.6,7.6
Askola,1995,4214,,365,,8.7,,,,,
Askola,1996,4243,,390,,9.2,,,,,
Askola,1997,4234,,378,,8.9,,,,,
Askola,1998,4253,,393,,9.2,,176,,4.1,
Askola,1999,4301,,393,,9.1,,181,,4.2,
Askola,2000,4337,,401,,9.2,,203,,4.7,
Askola,2001,4356,,461,,10.6,,230,,5.3,
Askola,2002,4368,,432,,9.9,,244,,5.6,
Askola,2003,4391,,423,,9.6,,246,,5.6,
Askola,2004,4455,,467,,10.5,,248,,5.6,
Askola,2005,4480,,459,,10.2,,274,,6.1,
Askola,2006,4557,,462,,10.1,,272,,6,
Askola,2007,4644,,453,,9.8,,260,,5.6,
Askola,2008,4687,,464,,9.9,,274,,5.8,
Askola,2009,4764,,481,,10.1,,281,,5.9,
Askola,2010,4799,1206,445,98,9.3,8.1,265,,5.5,
Askola,2011,4838,1205,470,97,9.7,8,280,,5.8,
Askola,2012,4912,1233,471,104,9.6,8.4,286,,5.8,
Askola,2013,4919,1240,433,105,8.8,8.5,254,32,5.2,2.6
Askola,2014,4985,1241,400,105,8,8.5,246,42,4.9,3.4
Askola,2015,5020,1266,448,121,8.9,9.6,244,48,4.9,3.8
Askola,2016,4966,1253,421,117,8.5,9.3,234,50,4.7,4
Askola,2017,4905,1225,406,121,8.3,9.9,209,34,4.3,2.8
Askola,2018,4867,1198,435,123,8.9,10.3,239,48,4.9,4
Askola,2019,4861,1159,447,126,9.2,10.9,254,58,5.2,5
Askola,2020,4802,1105,392,100,8.2,9,224,40,4.7,3.6
Askola,2021,4777,1063,379,81,7.9,7.6,214,40,4.5,3.8
Askola,2022,4678,1004,408,100,8.7,10,212,35,4.5,3.5
Aura,1995,3254,,247,,7.6,,,,,
Aura,1996,3252,,292,,9,,,,,
Aura,1997,3260,,298,,9.1,,,,,
Aura,1998,3253,,296,,9.1,,170,,5.2,
Aura,1999,3280,,301,,9.2,,180,,5.5,
Aura,2000,3312,,343,,10.4,,191,,5.8,
Aura,2001,3340,,334,,10,,210,,6.3,
Aura,2002,3414,,323,,9.5,,198,,5.8,
Aura,2003,3477,,281,,8.1,,182,,5.2,
Aura,2004,3576,,338,,9.5,,220,,6.2,
Aura,2005,3652,,367,,10,,206,,5.6,
Aura,2006,3705,,400,,10.8,,225,,6.1,
Aura,2007,3774,,446,,11.8,,250,,6.6,
Aura,2008,3799,,426,,11.2,,276,,7.3,
Aura,2009,3782,,393,,10.4,,252,,6.7,
Aura,2010,3848,957,383,73,10,7.6,237,,6.2,
Aura,2011,3916,975,408,87,10.4,8.9,248,,6.3,
Aura,2012,3907,980,355,60,9.1,6.1,238,,6.1,
Aura,2013,3896,984,379,81,9.7,8.2,225,28,5.8,2.8
Aura,2014,3921,983,361,94,9.2,9.6,214,33,5.5,3.4
Aura,2015,3920,994,360,97,9.2,9.8,218,41,5.6,4.1
Aura,2016,3919,974,343,78,8.8,8,211,34,5.4,3.5
Aura,2017,3928,949,344,71,8.8,7.5,205,27,5.2,2.8
Aura,2018,3924,936,356,77,9.1,8.2,189,23,4.8,2.5
Aura,2019,3883,905,339,68,8.7,7.5,186,,4.8,
Aura,2020,3901,904,325,75,8.3,8.3,204,34,5.2,3.8
Aura,2021,3906,900,336,68,8.6,7.6,206,26,5.3,2.9
Aura,2022,3918,890,365,76,9.3,8.5,224,27,5.7,3
Brändö,1995,540,,50,,9.3,,,,,
Brändö,1996,528,,66,,12.5,,,,,
Brändö,1997,531,,72,,13.6,,,,,
Brändö,1998,515,,56,,10.9,,36,,7,
Brändö,1999,501,,58,,11.6,,36,,7.2,
Brändö,2000,506,,60,,11.9,,40,,7.9,
Brändö,2001,493,,60,,12.2,,43,,8.7,
Brändö,2002,498,,57,,11.4,,47,,9.4,
Brändö,2003,511,,60,,11.7,,44,,8.6,
Brändö,2004,504,,75,,14.9,,40,,7.9,
Brändö,2005,502,,66,,13.1,,42,,8.4,
Brändö,2006,509,,74,,14.5,,42,,8.3,
Brändö,2007,500,,65,,13,,48,,9.6,
Brändö,2008,506,,60,,11.9,,40,,7.9,
Brändö,2009,483,,52,,10.8,,38,,7.9,
Brändö,2010,476,74,63,,13.2,,38,,8,
Brändö,2011,472,66,59,,12.5,,25,,5.3,
Brändö,2012,470,65,60,,12.8,,39,,8.3,
Brändö,2013,468,64,74,,15.8,,46,,9.8,
Brändö,2014,465,60,54,,11.6,,38,,8.2,
Brändö,2015,463,58,66,,14.3,,43,,9.3,
Brändö,2016,461,59,46,,10,,29,,6.3,
Brändö,2017,442,56,61,,13.8,,34,,7.7,
Brändö,2018,441,54,52,,11.8,,25,,5.7,
Brändö,2019,429,47,37,,8.6,,25,,5.8,
Brändö,2020,435,50,38,,8.7,,24,,5.5,
Brändö,2021,430,48,36,,8.4,,20,,4.7,
Brändö,2022,435,51,62,,14.3,,28,,6.4,
Eckerö,1995,819,,70,,8.5,,,,,
Eckerö,1996,812,,63,,7.8,,,,,
Eckerö,1997,801,,63,,7.9,,,,,
Eckerö,1998,829,,85,,10.3,,44,,5.3,
Eckerö,1999,836,,84,,10,,44,,5.3,
Eckerö,2000,821,,69,,8.4,,30,,3.7,
Eckerö,2001,833,,76,,9.1,,42,,5,
Eckerö,2002,878,,66,,7.5,,38,,4.3,
Eckerö,2003,886,,72,,8.1,,36,,4.1,
Eckerö,2004,878,,75,,8.5,,33,,3.8,
Eckerö,2005,916,,76,,8.3,,35,,3.8,
Eckerö,2006,917,,125,,13.6,,43,,4.7,
Eckerö,2007,913,,101,,11.1,,44,,4.8,
Eckerö,2008,904,,108,,11.9,,54,,6,
Eckerö,2009,906,,109,,12,,54,,6,
Eckerö,2010,934,170,100,,10.7,,57,,6.1,
Eckerö,2011,959,175,96,,10,,55,,5.7,
Eckerö,2012,942,170,97,,10.3,,41,,4.4,
Eckerö,2013,929,166,87,,9.4,,41,,4.4,
Eckerö,2014,916,158,92,,10,,43,,4.7,
Eckerö,2015,916,151,80,,8.7,,42,,4.6,
Eckerö,2016,908,144,82,,9,,49,,5.4,
Eckerö,2017,927,161,97,,10.5,,49,,5.3,
Eckerö,2018,930,158,91,,9.8,,45,,4.8,
Eckerö,2019,922,153,83,,9,,54,,5.9,
Eckerö,2020,925,153,98,,10.6,,44,,4.8,
Eckerö,2021,903,153,99,,11,,55,,6.1,
Eckerö,2022,907,150,110,,12.1,,60,,6.6,
Enonkoski,1995,2065,,181,,8.8,,,,,
Enonkoski,1996,2001,,234,,11.7,,,,,
Enonkoski,1997,1939,,264,,13.6,,,,,
Enonkoski,1998,1901,,290,,15.3,,155,,8.2,
Enonkoski,1999,1867,,302,,16.2,,177,,9.5,
Enonkoski,2000,1827,,354,,19.4,,205,,11.2,
Enonkoski,2001,1782,,345,,19.4,,212,,11.9,
Enonkoski,2002,1749,,292,,16.7,,202,,11.5,
Enonkoski,2003,1709,,302,,17.7,,208,,12.2,
Enonkoski,2004,1700,,347,,20.4,,210,,12.4,
Enonkoski,2005,1668,,373,,22.4,,219,,13.1,
Enonkoski,2006,1641,,308,,18.8,,206,,12.6,
Enonkoski,2007,1627,,346,,21.3,,228,,14,
Enonkoski,2008,1605,,315,,19.6,,216,,13.5,
Enonkoski,2009,1571,,310,,19.7,,216,,13.7,
Enonkoski,2010,1560,253,259,23,16.6,9.1,195,,12.5,
Enonkoski,2011,1514,247,279,32,18.4,13,200,,13.2,
Enonkoski,2012,1483,246,256,39,17.3,15.9,176,,11.9,
Enonkoski,2013,1479,242,232,28,15.7,11.6,164,,11.1,
Enonkoski,2014,1461,227,197,,13.5,,147,,10.1,
Enonkoski,2015,1427,226,215,,15.1,,148,,10.4,
Enonkoski,2016,1409,215,240,,17,,160,,11.4,
Enonkoski,2017,1373,202,226,,16.5,,154,,11.2,
Enonkoski,2018,1365,200,222,,16.3,,151,,11.1,
Enonkoski,2019,1328,194,221,22,16.6,11.3,149,,11.2,
Enonkoski,2020,1334,196,234,29,17.5,14.8,163,,12.2,
Enonkoski,2021,1327,196,225,22,17,11.2,165,,12.4,
Enonkoski,2022,1310,200,240,30,18.3,15,164,,12.5,
Enontekiö,1995,2391,,326,,13.6,,,,,
Enontekiö,1996,2357,,330,,14,,,,,
Enontekiö,1997,2336,,392,,16.8,,,,,
Enontekiö,1998,2292,,408,,17.8,,217,,9.5,
Enontekiö,1999,2199,,452,,20.6,,221,,10.1,
Enontekiö,2000,2118,,450,,21.2,,250,,11.8,
Enontekiö,2001,2075,,455,,21.9,,283,,13.6,
Enontekiö,2002,2049,,464,,22.6,,308,,15,
Enontekiö,2003,1999,,496,,24.8,,288,,14.4,
Enontekiö,2004,1967,,495,,25.2,,299,,15.2,
Enontekiö,2005,1968,,433,,22,,303,,15.4,
Enontekiö,2006,1963,,429,,21.9,,305,,15.5,
Enontekiö,2007,1932,,477,,24.7,,317,,16.4,
Enontekiö,2008,1885,,465,,24.7,,307,,16.3,
Enontekiö,2009,1849,,452,,24.4,,309,,16.7,
Enontekiö,2010,1833,290,452,80,24.7,27.6,310,,16.9,
Enontekiö,2011,1856,297,461,90,24.8,30.3,323,,17.4,
Enontekiö,2012,1838,290,361,63,19.6,21.7,259,,14.1,
Enontekiö,2013,1846,287,330,58,17.9,20.2,249,38,13.5,13.2
Enontekiö,2014,1832,289,349,62,19.1,21.5,240,34,13.1,11.8
Enontekiö,2015,1796,279,291,49,16.2,17.6,191,24,10.6,8.6
Enontekiö,2016,1806,267,295,41,16.3,15.4,193,22,10.7,8.2
Enontekiö,2017,1825,286,291,54,15.9,18.9,198,29,10.8,10.1
Enontekiö,2018,1788,278,317,53,17.7,19.1,191,25,10.7,9
Enontekiö,2019,1777,275,324,65,18.2,23.6,201,32,11.3,11.6
Enontekiö,2020,1744,264,320,56,18.3,21.2,193,21,11.1,8
Enontekiö,2021,1718,250,309,48,18,19.2,204,28,11.9,11.2
Enontekiö,2022,1727,257,312,47,18.1,18.3,204,29,11.8,11.3
Espoo,1995,188646,,9320,,4.9,,,,,
Espoo,1996,193201,,10584,,5.5,,,,,
Espoo,1997,197438,,10680,,5.4,,,,,
Espoo,1998,201340,,10788,,5.4,,3792,,1.9,
Espoo,1999,205679,,10775,,5.2,,3878,,1.9,
Espoo,2000,209369,,11170,,5.3,,3940,,1.9,
Espoo,2001,213035,,11889,,5.6,,4324,,2,
Espoo,2002,217751,,13225,,6.1,,4880,,2.2,
Espoo,2003,220284,,14870,,6.8,,5475,,2.5,
Espoo,2004,223382,,17095,,7.7,,6415,,2.9,
Espoo,2005,227597,,18630,,8.2,,7383,,3.2,
Espoo,2006,230692,,19591,,8.5,,8310,,3.6,
Espoo,2007,233509,,20521,,8.8,,9147,,3.9,
Espoo,2008,236936,,20786,,8.8,,9888,,4.2,
Espoo,2009,239377,,22082,,9.2,,10711,,4.5,
Espoo,2010,242836,57335,21176,4715,8.7,8.2,10490,,4.3,
Espoo,2011,246893,57853,21323,4709,8.6,8.1,10639,,4.3,
Espoo,2012,251336,58548,21427,4748,8.5,8.1,10308,,4.1,
Espoo,2013,254936,59133,21646,4720,8.5,8,10227,1899,4,3.2
Espoo,2014,259219,60239,21914,4945,8.5,8.2,10249,1891,4,3.1
Espoo,2015,263126,61031,21896,4927,8.3,8.1,10368,1960,3.9,3.2
Espoo,2016,267730,61980,23360,5259,8.7,8.5,10695,2045,4,3.3
Espoo,2017,272002,62743,23944,5351,8.8,8.5,10656,1967,3.9,3.1
Espoo,2018,276839,63609,25544,5967,9.2,9.4,11361,2214,4.1,3.5
Espoo,2019,282930,64148,27056,6103,9.6,9.5,12309,2360,4.4,3.7
Espoo,2020,286436,64682,25612,5386,8.9,8.3,12281,2221,4.3,3.4
Espoo,2021,290941,64879,28554,6336,9.8,9.8,13292,2433,4.6,3.8
Espoo,2022,299162,65881,30559,6560,10.2,10,13940,2497,4.7,3.8
Eura,1995,13246,,1076,,8.1,,,,,
Eura,1996,13182,,1172,,8.9,,,,,
Eura,1997,13142,,1235,,9.4,,,,,
Eura,1998,13010,,1378,,10.6,,716,,5.5,
Eura,1999,12946,,1528,,11.8,,827,,6.4,
Eura,2000,12778,,1680,,13.1,,907,,7.1,
Eura,2001,12704,,1533,,12.1,,976,,7.7,
Eura,2002,12654,,1602,,12.7,,1045,,8.3,
Eura,2003,12591,,1655,,13.1,,1083,,8.6,
Eura,2004,12591,,1737,,13.8,,1080,,8.6,
Eura,2005,12595,,1777,,14.1,,1148,,9.1,
Eura,2006,12528,,1834,,14.6,,1162,,9.3,
Eura,2007,12429,,1841,,14.8,,1207,,9.7,
Eura,2008,12332,,1774,,14.4,,1177,,9.5,
Eura,2009,12294,,1671,,13.6,,1184,,9.6,
Eura,2010,12261,2552,1684,305,13.7,12,1153,,9.4,
Eura,2011,12128,2499,1627,270,13.4,10.8,1102,,9.1,
Eura,2012,12102,2457,1508,220,12.5,9,1047,,8.7,
Eura,2013,12079,2424,1454,249,12,10.3,1019,117,8.4,4.8
Eura,2014,12049,2417,1390,241,11.5,10,959,93,8,3.8
Eura,2015,11893,2365,1419,276,11.9,11.7,939,116,7.9,4.9
Eura,2016,11768,2324,1378,272,11.7,11.7,903,116,7.7,5
Eura,2017,11667,2283,1305,264,11.2,11.6,867,117,7.4,5.1
Eura,2018,11496,2247,1374,269,12,12,891,134,7.8,6
Eura,2019,11365,2210,1433,284,12.6,12.9,903,134,7.9,6.1
Eura,2020,11228,2156,1345,262,12,12.2,890,131,7.9,6.1
Eura,2021,11168,2095,1334,267,11.9,12.7,889,133,8,6.3
Eura,2022,11038,2012,1330,226,12,11.2,866,109,7.8,5.4
Eurajoki,1995,9517,,808,,8.5,,,,,
Eurajoki,1996,9436,,882,,9.3,,,,,
Eurajoki,1997,9306,,883,,9.5,,,,,
Eurajoki,1998,9255,,923,,10,,476,,5.1,
Eurajoki,1999,9131,,1063,,11.6,,568,,6.2,
Eurajoki,2000,9124,,1097,,12,,606,,6.6,
Eurajoki,2001,8982,,1095,,12.2,,676,,7.5,
Eurajoki,2002,8954,,1074,,12,,690,,7.7,
Eurajoki,2003,8944,,1116,,12.5,,732,,8.2,
Eurajoki,2004,8992,,1115,,12.4,,673,,7.5,
Eurajoki,2005,9077,,1170,,12.9,,748,,8.2,
Eurajoki,2006,9090,,1205,,13.3,,784,,8.6,
Eurajoki,2007,9087,,1201,,13.2,,799,,8.8,
Eurajoki,2008,9102,,1150,,12.6,,769,,8.4,
Eurajoki,2009,9083,,1034,,11.4,,721,,7.9,
Eurajoki,2010,9128,1971,1025,143,11.2,7.3,701,,7.7,
Eurajoki,2011,9051,1992,952,149,10.5,7.5,650,,7.2,
Eurajoki,2012,9109,2014,912,152,10,7.5,615,,6.8,
Eurajoki,2013,9108,2005,861,164,9.5,8.2,582,67,6.4,3.3
Eurajoki,2014,9115,2014,875,182,9.6,9,565,70,6.2,3.5
Eurajoki,2015,9074,1983,848,186,9.3,9.4,551,87,6.1,4.4
Eurajoki,2016,9202,1998,799,153,8.7,7.7,512,84,5.6,4.2
Eurajoki,2017,9255,1979,760,151,8.2,7.6,486,69,5.3,3.5
Eurajoki,2018,9179,1963,727,151,7.9,7.7,458,67,5,3.4
Eurajoki,2019,9133,1936,787,150,8.6,7.7,470,70,5.1,3.6
Eurajoki,2020,9177,1937,726,112,7.9,5.8,459,63,5,3.3
Eurajoki,2021,9036,1893,679,126,7.5,6.7,404,51,4.5,2.7
Eurajoki,2022,8922,1821,719,131,8.1,7.2,443,55,5,3
Evijärvi,1995,3252,,330,,10.1,,,,,
Evijärvi,1996,3195,,371,,11.6,,,,,
Evijärvi,1997,3152,,360,,11.4,,,,,
Evijärvi,1998,3114,,366,,11.8,,215,,6.9,
Evijärvi,1999,3071,,440,,14.3,,230,,7.5,
Evijärvi,2000,3021,,376,,12.4,,215,,7.1,
Evijärvi,2001,2983,,397,,13.3,,232,,7.8,
Evijärvi,2002,2941,,362,,12.3,,228,,7.8,
