Alue,Vuosi,Kesämökkejä (lkm)
Hailuoto,2020,636
Hailuoto,2021,641
Hailuoto,2022,658
Halsua,1970,45
Halsua,1980,94
Halsua,1990,113
Halsua,1995,161
Halsua,2000,197
Halsua,2005,210
Halsua,2010,221
Halsua,2015,232
Halsua,2020,221
Halsua,2021,225
Halsua,2022,226
Hamina,1970,1106
Hamina,1980,1336
Hamina,1990,1745
Hamina,1995,1936
Hamina,2000,2191
Hamina,2005,2185
Hamina,2010,2235
Hamina,2015,2335
Hamina,2020,2306
Hamina,2021,2317
Hamina,2022,2320
Hammarland,1970,117
Hammarland,1980,295
Hammarland,1990,336
Hammarland,1995,391
Hammarland,2000,427
Hammarland,2005,482
Hammarland,2010,503
Hammarland,2015,483
Hammarland,2020,524
Hammarland,2021,539
Hammarland,2022,537
Hankasalmi,1970,339
Hankasalmi,1980,771
Hankasalmi,1990,1334
Hankasalmi,1995,1494
Hankasalmi,2000,1570
Hankasalmi,2005,1612
Hankasalmi,2010,1561
Hankasalmi,2015,1561
Hankasalmi,2020,1453
Hankasalmi,2021,1457
Hankasalmi,2022,1462
Hanko,1970,50
Hanko,1980,439
Hanko,1990,543
Hanko,1995,652
Hanko,2000,742
Hanko,2005,702
Hanko,2010,776
Hanko,2015,781
Hanko,2020,791
Hanko,2021,797
Hanko,2022,789
Harjavalta,1970,29
Harjavalta,1980,30
Harjavalta,1990,65
Harjavalta,1995,72
Harjavalta,2000,60
Harjavalta,2005,66
Harjavalta,2010,66
Harjavalta,2015,55
Harjavalta,2020,45
Harjavalta,2021,45
Harjavalta,2022,45
Hartola,1970,652
Hartola,1980,1107
Hartola,1990,1897
Hartola,1995,1901
Hartola,2000,2130
Hartola,2005,2267
Hartola,2010,2306
Hartola,2015,2376
Hartola,2020,2443
Hartola,2021,2428
Hartola,2022,2414
Hattula,1970,1078
Hattula,1980,1213
Hattula,1990,1626
Hattula,1995,1744
Hattula,2000,1952
Hattula,2005,1989
Hattula,2010,1933
Hattula,2015,2018
Hattula,2020,2019
Hattula,2021,2030
Hattula,2022,2024
Hausjärvi,1970,328
Hausjärvi,1980,508
Hausjärvi,1990,737
Hausjärvi,1995,759
