Alue,Vuosi,Kesämökkejä (lkm)
Kotka,1980,940
Kotka,1990,1425
Kotka,1995,1458
Kotka,2000,1572
Kotka,2005,1526
Kotka,2010,1578
Kotka,2015,1606
Kotka,2020,1877
Kotka,2021,1891
Kotka,2022,1899
Kouvola,1970,2694
Kouvola,1980,3886
Kouvola,1990,5582
Kouvola,1995,6726
Kouvola,2000,7167
Kouvola,2005,7470
Kouvola,2010,7605
Kouvola,2015,7740
Kouvola,2020,7477
Kouvola,2021,7499
Kouvola,2022,7544
Kristiinankaupunki,1970,722
Kristiinankaupunki,1980,1033
Kristiinankaupunki,1990,1127
Kristiinankaupunki,1995,1197
Kristiinankaupunki,2000,1307
Kristiinankaupunki,2005,1390
Kristiinankaupunki,2010,1379
Kristiinankaupunki,2015,1343
Kristiinankaupunki,2020,1367
Kristiinankaupunki,2021,1412
Kristiinankaupunki,2022,1416
Kruunupyy,1970,356
Kruunupyy,1980,492
Kruunupyy,1990,513
Kruunupyy,1995,594
Kruunupyy,2000,665
Kruunupyy,2005,737
Kruunupyy,2010,876
Kruunupyy,2015,854
Kruunupyy,2020,1054
Kruunupyy,2021,1066
Kruunupyy,2022,1083
Kuhmo,1970,233
Kuhmo,1980,650
Kuhmo,1990,1567
Kuhmo,1995,2059
Kuhmo,2000,2181
Kuhmo,2005,2349
Kuhmo,2010,2415
Kuhmo,2015,2455
Kuhmo,2020,2248
Kuhmo,2021,2243
Kuhmo,2022,2253
Kuhmoinen,1970,911
Kuhmoinen,1980,1452
Kuhmoinen,1990,1925
Kuhmoinen,1995,2237
Kuhmoinen,2000,2627
Kuhmoinen,2005,2773
Kuhmoinen,2010,2979
Kuhmoinen,2015,3094
Kuhmoinen,2020,3039
Kuhmoinen,2021,3165
Kuhmoinen,2022,3165
Kumlinge,1970,43
Kumlinge,1980,140
Kumlinge,1990,190
Kumlinge,1995,226
Kumlinge,2000,254
Kumlinge,2005,260
Kumlinge,2010,273
Kumlinge,2015,280
Kumlinge,2020,340
Kumlinge,2021,360
Kumlinge,2022,355
Kuopio,1970,4070
Kuopio,1980,5724
Kuopio,1990,8662
Kuopio,1995,9555
Kuopio,2000,9899
Kuopio,2005,10337
Kuopio,2010,10618
Kuopio,2015,10695
Kuopio,2020,10507
Kuopio,2021,10514
Kuopio,2022,10496
Kuortane,1970,237
Kuortane,1980,363
Kuortane,1990,625
Kuortane,1995,671
Kuortane,2000,730
Kuortane,2005,739
Kuortane,2010,737
Kuortane,2015,745
Kuortane,2020,708
Kuortane,2021,710
Kuortane,2022,699
Kurikka,1970,141
Kurikka,1980,305
Kurikka,1990,789
Kurikka,1995,921
Kurikka,2000,1025
Kurikka,2005,1042
Kurikka,2010,1107
Kurikka,2015,1104
Kurikka,2020,950
Kurikka,2021,958
Kurikka,2022,969
Kustavi,1970,886
Kustavi,1980,1466
Kustavi,1990,2087
Kustavi,1995,2260
Kustavi,2000,2691
Kustavi,2005,2841
Kustavi,2010,2922
Kustavi,2015,3064
Kustavi,2020,3269
Kustavi,2021,3272
Kustavi,2022,3282
Kuusamo,1970,693
Kuusamo,1980,2049
Kuusamo,1990,3949
Kuusamo,1995,4727
Kuusamo,2000,5329
Kuusamo,2005,6196
Kuusamo,2010,6394
Kuusamo,2015,6638
Kuusamo,2020,7518
Kuusamo,2021,7525
Kuusamo,2022,7580
Kyyjärvi,1970,36
Kyyjärvi,1980,96
Kyyjärvi,1990,183
Kyyjärvi,1995,204
Kyyjärvi,2000,227
Kyyjärvi,2005,236
Kyyjärvi,2010,243
Kyyjärvi,2015,247
Kyyjärvi,2020,252
Kyyjärvi,2021,252
Kyyjärvi,2022,252
Kärkölä,1970,154
Kärkölä,1980,195
Kärkölä,1990,295
Kärkölä,1995,376
Kärkölä,2000,399
Kärkölä,2005,371
Kärkölä,2010,369
Kärkölä,2015,390
Kärkölä,2020,318
Kärkölä,2021,317
Kärkölä,2022,315
Kärsämäki,1970,11
Kärsämäki,1980,29
Kärsämäki,1990,94
Kärsämäki,1995,87
Kärsämäki,2000,80
Kärsämäki,2005,86
Kärsämäki,2010,107
Kärsämäki,2015,112
Kärsämäki,2020,88
Kärsämäki,2021,101
Kärsämäki,2022,102
Kökar,1970,43
Kökar,1980,143
Kökar,1990,140
Kökar,1995,177
Kökar,2000,211
Kökar,2005,223
Kökar,2010,230
Kökar,2015,235
Kökar,2020,273
Kökar,2021,274
Kökar,2022,272
Lahti,1970,1226
Lahti,1980,1398
Lahti,1990,1768
Lahti,1995,1947
Lahti,2000,1890
Lahti,2005,1894
Lahti,2010,1891
Lahti,2015,1837
Lahti,2020,1838
Lahti,2021,1813
Lahti,2022,1799
Laihia,1970,37
Laihia,1980,80
Laihia,1990,227
Laihia,1995,236
Laihia,2000,232
Laihia,2005,256
Laihia,2010,251
Laihia,2015,248
Laihia,2020,208
Laihia,2021,208
Laihia,2022,209
Laitila,1970,376
Laitila,1980,688
Laitila,1990,914
Laitila,1995,1078
Laitila,2000,1162
Laitila,2005,1221
Laitila,2010,1239
Laitila,2015,1250
Laitila,2020,1321
Laitila,2021,1320
Laitila,2022,1322
Lapinjärvi,1970,144
Lapinjärvi,1980,224
Lapinjärvi,1990,421
Lapinjärvi,1995,472
Lapinjärvi,2000,452
Lapinjärvi,2005,423
Lapinjärvi,2010,444
Lapinjärvi,2015,440
Lapinjärvi,2020,351
Lapinjärvi,2021,361
Lapinjärvi,2022,359
Lapinlahti,1970,340
Lapinlahti,1980,651
Lapinlahti,1990,1331
Lapinlahti,1995,1462
Lapinlahti,2000,1536
Lapinlahti,2005,1558
Lapinlahti,2010,1620
Lapinlahti,2015,1660
Lapinlahti,2020,1570
Lapinlahti,2021,1589
Lapinlahti,2022,1590
Lappajärvi,1970,328
Lappajärvi,1980,455
Lappajärvi,1990,729
Lappajärvi,1995,836
Lappajärvi,2000,971
Lappajärvi,2005,1012
Lappajärvi,2010,1098
Lappajärvi,2015,1150
Lappajärvi,2020,1210
Lappajärvi,2021,1208
Lappajärvi,2022,1220
Lappeenranta,1970,1289
Lappeenranta,1980,1639
Lappeenranta,1990,2421
Lappeenranta,1995,2749
Lappeenranta,2000,3058
Lappeenranta,2005,3132
Lappeenranta,2010,3019
Lappeenranta,2015,3158
Lappeenranta,2020,3090
Lappeenranta,2021,3085
Lappeenranta,2022,3079
Lapua,1970,101
Lapua,1980,155
Lapua,1990,398
Lapua,1995,488
Lapua,2000,668
Lapua,2005,658
Lapua,2010,656
Lapua,2015,677
Lapua,2020,648
Lapua,2021,656
Lapua,2022,649
Laukaa,1970,753
Laukaa,1980,915
Laukaa,1990,1349
Laukaa,1995,1441
Laukaa,2000,1554
Laukaa,2005,1612
Laukaa,2010,1673
Laukaa,2015,1716
Laukaa,2020,1702
Laukaa,2021,1706
Laukaa,2022,1711
Lemi,1970,548
Lemi,1980,727
Lemi,1990,1111
Lemi,1995,1212
Lemi,2000,1259
Lemi,2005,1319
Lemi,2010,1328
Lemi,2015,1397
Lemi,2020,1383
Lemi,2021,1377
Lemi,2022,1380
Lemland,1970,316
Lemland,1980,647
Lemland,1990,651
Lemland,1995,685
Lemland,2000,748
Lemland,2005,717
Lemland,2010,802
Lemland,2015,870
Lemland,2020,987
Lemland,2021,993
Lemland,2022,996
Lempäälä,1970,791
Lempäälä,1980,762
Lempäälä,1990,969
Lempäälä,1995,1025
Lempäälä,2000,1142
Lempäälä,2005,1103
Lempäälä,2010,1122
Lempäälä,2015,1118
Lempäälä,2020,1133
Lempäälä,2021,1114
Lempäälä,2022,1113
Leppävirta,1970,901
Leppävirta,1980,1481
Leppävirta,1990,2380
Leppävirta,1995,2537
Leppävirta,2000,2825
Leppävirta,2005,3009
Leppävirta,2010,3078
Leppävirta,2015,3137
Leppävirta,2020,3297
Leppävirta,2021,3283
Leppävirta,2022,3273
Lestijärvi,1970,148
Lestijärvi,1980,221
Lestijärvi,1990,272
Lestijärvi,1995,317
Lestijärvi,2000,374
Lestijärvi,2005,407
Lestijärvi,2010,427
Lestijärvi,2015,439
Lestijärvi,2020,470
Lestijärvi,2021,468
Lestijärvi,2022,468
Lieksa,1970,717
Lieksa,1980,1195
Lieksa,1990,1720
Lieksa,1995,2214
Lieksa,2000,2341
Lieksa,2005,2533
Lieksa,2010,2638
Lieksa,2015,2838
Lieksa,2020,2741
Lieksa,2021,2735
Lieksa,2022,2744
Lieto,1970,101
Lieto,1980,141
Lieto,1990,210
Lieto,1995,228
Lieto,2000,235
Lieto,2005,270
Lieto,2010,291
Lieto,2015,276
Lieto,2020,251
Lieto,2021,251
Lieto,2022,253
Liminka,1970,43
Liminka,1980,82
Liminka,1990,165
Liminka,1995,162
Liminka,2000,156
Liminka,2005,152
Liminka,2010,162
Liminka,2015,166
Liminka,2020,152
Liminka,2021,152
Liminka,2022,151
Liperi,1970,1113
Liperi,1980,1581
Liperi,1990,2188
Liperi,1995,2612
Liperi,2000,2842
Liperi,2005,2775
Liperi,2010,2843
Liperi,2015,2790
Liperi,2020,2519
Liperi,2021,2521
Liperi,2022,2509
Lohja,1970,4399
Lohja,1980,5927
Lohja,1990,6929
Lohja,1995,7314
Lohja,2000,7696
Lohja,2005,7991
Lohja,2010,8259
Lohja,2015,8414
Lohja,2020,8255
Lohja,2021,8258
Lohja,2022,8256
Loimaa,1970,184
Loimaa,1980,261
Loimaa,1990,678
Loimaa,1995,743
Loimaa,2000,760
Loimaa,2005,720
Loimaa,2010,752
Loimaa,2015,762
Loimaa,2020,575
Loimaa,2021,576
Loimaa,2022,579
Loppi,1970,1004
Loppi,1980,1608
Loppi,1990,2451
Loppi,1995,2701
Loppi,2000,3002
Loppi,2005,3165
Loppi,2010,3237
Loppi,2015,3339
Loppi,2020,3368
Loppi,2021,3395
Loppi,2022,3425
Loviisa,1970,1428
Loviisa,1980,1985
Loviisa,1990,2674
Loviisa,1995,2941
Loviisa,2000,3022
Loviisa,2005,3158
Loviisa,2010,3144
Loviisa,2015,3250
Loviisa,2020,3185
Loviisa,2021,3213
Loviisa,2022,3230
Luhanka,1970,218
Luhanka,1980,361
Luhanka,1990,558
Luhanka,1995,652
Luhanka,2000,713
Luhanka,2005,783
Luhanka,2010,797
Luhanka,2015,830
Luhanka,2020,833
Luhanka,2021,830
Luhanka,2022,829
Lumijoki,1970,66
Lumijoki,1980,123
Lumijoki,1990,184
Lumijoki,1995,225
Lumijoki,2000,208
Lumijoki,2005,200
Lumijoki,2010,210
Lumijoki,2015,220
Lumijoki,2020,203
Lumijoki,2021,202
Lumijoki,2022,203
Lumparland,1970,72
Lumparland,1980,172
Lumparland,1990,209
Lumparland,1995,233
Lumparland,2000,250
Lumparland,2005,269
Lumparland,2010,274
Lumparland,2015,305
Lumparland,2020,355
Lumparland,2021,371
Lumparland,2022,376
Luoto,1970,732
Luoto,1980,1150
Luoto,1990,1335
Luoto,1995,1412
Luoto,2000,1645
Luoto,2005,1730
Luoto,2010,1839
Luoto,2015,1860
Luoto,2020,2084
Luoto,2021,2122
Luoto,2022,2213
Luumäki,1970,1011
Luumäki,1980,1654
Luumäki,1990,2504
Luumäki,1995,2736
Luumäki,2000,2925
Luumäki,2005,3069
Luumäki,2010,3001
Luumäki,2015,3093
Luumäki,2020,3274
Luumäki,2021,3272
Luumäki,2022,3286
Maalahti,1970,689
Maalahti,1980,1249
Maalahti,1990,1621
Maalahti,1995,1856
Maalahti,2000,2078
Maalahti,2005,2071
Maalahti,2010,2014
Maalahti,2015,1999
Maalahti,2020,2015
Maalahti,2021,2018
Maalahti,2022,2034
Maarianhamina - Mariehamn,1970,65
Maarianhamina - Mariehamn,1980,50
Maarianhamina - Mariehamn,1990,60
Maarianhamina - Mariehamn,1995,61
Maarianhamina - Mariehamn,2000,73
Maarianhamina - Mariehamn,2005,68
Maarianhamina - Mariehamn,2010,67
Maarianhamina - Mariehamn,2015,64
Maarianhamina - Mariehamn,2020,73
Maarianhamina - Mariehamn,2021,74
Maarianhamina - Mariehamn,2022,71
Marttila,1970,28
Marttila,1980,67
Marttila,1990,127
Marttila,1995,152
Marttila,2000,170
Marttila,2005,233
Marttila,2010,234
Marttila,2015,227
Marttila,2020,171
Marttila,2021,172
Marttila,2022,173
Masku,1970,504
Masku,1980,684
Masku,1990,938
Masku,1995,1020
Masku,2000,1147
Masku,2005,1129
Masku,2010,923
Masku,2015,938
Masku,2020,926
Masku,2021,923
Masku,2022,920
Merijärvi,1970,17
Merijärvi,1980,29
Merijärvi,1990,94
Merijärvi,1995,147
Merijärvi,2000,155
Merijärvi,2005,148
Merijärvi,2010,155
Merijärvi,2015,150
Merijärvi,2020,89
Merijärvi,2021,89
Merijärvi,2022,88
Merikarvia,1970,507
Merikarvia,1980,886
Merikarvia,1990,1301
Merikarvia,1995,1397
Merikarvia,2000,1569
Merikarvia,2005,1638
Merikarvia,2010,1690
Merikarvia,2015,1743
Merikarvia,2020,1696
Merikarvia,2021,1699
Merikarvia,2022,1697
Miehikkälä,1970,144
Miehikkälä,1980,326
Miehikkälä,1990,518
Miehikkälä,1995,598
Miehikkälä,2000,684
Miehikkälä,2005,714
Miehikkälä,2010,813
Miehikkälä,2015,817
Miehikkälä,2020,738
Miehikkälä,2021,743
Miehikkälä,2022,746
Mikkeli,1970,3251
Mikkeli,1980,5275
Mikkeli,1990,7769
Mikkeli,1995,8546
Mikkeli,2000,9418
Mikkeli,2005,9974
Mikkeli,2010,10108
Mikkeli,2015,10349
Mikkeli,2020,10345
Mikkeli,2021,10323
Mikkeli,2022,10222
Muhos,1970,192
Muhos,1980,303
Muhos,1990,535
Muhos,1995,635
Muhos,2000,638
Muhos,2005,640
Muhos,2010,627
Muhos,2015,627
Muhos,2020,542
Muhos,2021,548
Muhos,2022,557
Multia,1970,113
Multia,1980,227
Multia,1990,395
Multia,1995,505
Multia,2000,548
Multia,2005,583
Multia,2010,611
Multia,2015,644
Multia,2020,626
Multia,2021,630
Multia,2022,637
Muonio,1970,91
Muonio,1980,246
Muonio,1990,591
Muonio,1995,742
Muonio,2000,854
Muonio,2005,967
Muonio,2010,1010
Muonio,2015,1058
Muonio,2020,1313
Muonio,2021,1324
Muonio,2022,1331
Mustasaari,1970,3029
Mustasaari,1980,1841
Mustasaari,1990,2592
Mustasaari,1995,2949
Mustasaari,2000,3214
Mustasaari,2005,3367
Mustasaari,2010,3652
Mustasaari,2015,3834
Mustasaari,2020,4124
Mustasaari,2021,4150
Mustasaari,2022,4176
Muurame,1970,415
Muurame,1980,501
Muurame,1990,603
Muurame,1995,636
Muurame,2000,691
Muurame,2005,691
Muurame,2010,739
Muurame,2015,753
Muurame,2020,716
Muurame,2021,723
Muurame,2022,724
Mynämäki,1970,186
Mynämäki,1980,412
Mynämäki,1990,764
Mynämäki,1995,892
Mynämäki,2000,943
Mynämäki,2005,956
Mynämäki,2010,1005
Mynämäki,2015,1029
Mynämäki,2020,1012
Mynämäki,2021,1011
Mynämäki,2022,1036
Myrskylä,1970,150
Myrskylä,1980,237
Myrskylä,1990,400
Myrskylä,1995,514
Myrskylä,2000,512
Myrskylä,2005,508
Myrskylä,2010,507
Myrskylä,2015,508
Myrskylä,2020,447
Myrskylä,2021,431
Myrskylä,2022,437
Mäntsälä,1970,535
Mäntsälä,1980,621
Mäntsälä,1990,997
Mäntsälä,1995,1090
Mäntsälä,2000,1060
Mäntsälä,2005,1027
Mäntsälä,2010,1040
Mäntsälä,2015,1059
Mäntsälä,2020,902
Mäntsälä,2021,904
Mäntsälä,2022,905
Mänttä-Vilppula,1970,682
Mänttä-Vilppula,1980,864
Mänttä-Vilppula,1990,1239
Mänttä-Vilppula,1995,1355
Mänttä-Vilppula,2000,1517
Mänttä-Vilppula,2005,1520
Mänttä-Vilppula,2010,1564
Mänttä-Vilppula,2015,1650
Mänttä-Vilppula,2020,1642
Mänttä-Vilppula,2021,1591
Mänttä-Vilppula,2022,1591
Mäntyharju,1970,1343
Mäntyharju,1980,2109
Mäntyharju,1990,3195
Mäntyharju,1995,3863
Mäntyharju,2000,4337
Mäntyharju,2005,4630
Mäntyharju,2010,4702
Mäntyharju,2015,4853
Mäntyharju,2020,4791
Mäntyharju,2021,4788
Mäntyharju,2022,4785
Naantali,1970,1921
Naantali,1980,2557
Naantali,1990,3183
Naantali,1995,3456
Naantali,2000,3959
Naantali,2005,3985
Naantali,2010,4401
Naantali,2015,4611
Naantali,2020,4946
Naantali,2021,4952
Naantali,2022,4950
Nakkila,1970,28
Nakkila,1980,32
Nakkila,1990,65
Nakkila,1995,65
Nakkila,2000,63
Nakkila,2005,66
Nakkila,2010,68
Nakkila,2015,70
Nakkila,2020,56
Nakkila,2021,56
Nakkila,2022,57
Nivala,1970,31
Nivala,1980,30
Nivala,1990,153
Nivala,1995,181
Nivala,2000,175
Nivala,2005,191
Nivala,2010,202
Nivala,2015,207
Nivala,2020,205
Nivala,2021,204
Nivala,2022,210
Nokia,1970,1038
Nokia,1980,1128
Nokia,1990,1361
Nokia,1995,1440
Nokia,2000,1571
Nokia,2005,1484
Nokia,2010,1512
Nokia,2015,1571
Nokia,2020,1559
Nokia,2021,1556
Nokia,2022,1547
Nousiainen,1970,40
Nousiainen,1980,96
Nousiainen,1990,211
Nousiainen,1995,234
Nousiainen,2000,262
Nousiainen,2005,266
Nousiainen,2010,280
Nousiainen,2015,297
Nousiainen,2020,308
Nousiainen,2021,309
Nousiainen,2022,309
Nurmes,1970,396
Nurmes,1980,735
Nurmes,1990,1344
Nurmes,1995,1599
Nurmes,2000,1577
Nurmes,2005,1635
Nurmes,2010,1713
Nurmes,2015,1777
Nurmes,2020,1700
Nurmes,2021,1710
Nurmes,2022,1712
Nurmijärvi,1970,965
Nurmijärvi,1980,735
Nurmijärvi,1990,826
Nurmijärvi,1995,852
Nurmijärvi,2000,793
Nurmijärvi,2005,751
Nurmijärvi,2010,732
Nurmijärvi,2015,702
Nurmijärvi,2020,645
Nurmijärvi,2021,635
Nurmijärvi,2022,618
Närpiö,1970,620
Närpiö,1980,1255
Närpiö,1990,1338
Närpiö,1995,1391
Närpiö,2000,1621
Närpiö,2005,1508
Närpiö,2010,1534
Närpiö,2015,1546
Närpiö,2020,1549
Närpiö,2021,1562
Närpiö,2022,1577
Orimattila,1970,435
Orimattila,1980,596
Orimattila,1990,1115
Orimattila,1995,1272
Orimattila,2000,1295
Orimattila,2005,1281
Orimattila,2010,1280
Orimattila,2015,1290
Orimattila,2020,1056
Orimattila,2021,1052
Orimattila,2022,1037
Oripää,1970,12
Oripää,1980,28
Oripää,1990,74
Oripää,1995,76
Oripää,2000,84
Oripää,2005,94
Oripää,2010,97
Oripää,2015,99
Oripää,2020,77
Oripää,2021,78
Oripää,2022,78
Orivesi,1970,794
Orivesi,1980,1245
Orivesi,1990,1660
Orivesi,1995,1828
Orivesi,2000,2100
Orivesi,2005,2084
Orivesi,2010,3512
Orivesi,2015,3602
Orivesi,2020,3791
Orivesi,2021,3789
Orivesi,2022,3790
Oulainen,1970,43
Oulainen,1980,118
Oulainen,1990,235
Oulainen,1995,300
Oulainen,2000,316
Oulainen,2005,329
Oulainen,2010,347
Oulainen,2015,354
Oulainen,2020,295
Oulainen,2021,296
Oulainen,2022,297
Oulu,1970,2038
Oulu,1980,2334
Oulu,1990,3793
Oulu,1995,4032
Oulu,2000,4303
Oulu,2005,4375
Oulu,2010,4443
Oulu,2015,4350
Oulu,2020,4198
Oulu,2021,4200
Oulu,2022,4222
Outokumpu,1970,325
Outokumpu,1980,514
Outokumpu,1990,770
Outokumpu,1995,940
Outokumpu,2000,1002
Outokumpu,2005,1004
Outokumpu,2010,1018
Outokumpu,2015,1043
Outokumpu,2020,1006
Outokumpu,2021,1011
Outokumpu,2022,1012
Padasjoki,1970,883
Padasjoki,1980,1610
Padasjoki,1990,1983
Padasjoki,1995,2286
Padasjoki,2000,2555
Padasjoki,2005,2634
Padasjoki,2010,2686
Padasjoki,2015,2804
Padasjoki,2020,2867
Padasjoki,2021,2831
Padasjoki,2022,2828
Paimio,1970,97
Paimio,1980,184
Paimio,1990,292
Paimio,1995,329
Paimio,2000,322
Paimio,2005,317
Paimio,2010,320
Paimio,2015,285
Paimio,2020,235
Paimio,2021,247
Paimio,2022,250
Paltamo,1970,221
Paltamo,1980,442
Paltamo,1990,847
Paltamo,1995,1027
Paltamo,2000,1057
Paltamo,2005,1186
Paltamo,2010,1222
Paltamo,2015,1291
Paltamo,2020,1259
Paltamo,2021,1272
Paltamo,2022,1273
Parainen,1970,3380
Parainen,1980,5053
Parainen,1990,6315
Parainen,1995,6871
Parainen,2000,7544
Parainen,2005,8244
Parainen,2010,8374
Parainen,2015,8595
Parainen,2020,9665
Parainen,2021,9677
Parainen,2022,9695
Parikkala,1970,476
Parikkala,1980,951
Parikkala,1990,1427
Parikkala,1995,1802
Parikkala,2000,1846
Parikkala,2005,1810
Parikkala,2010,1801
Parikkala,2015,1817
Parikkala,2020,1684
Parikkala,2021,1689
Parikkala,2022,1693
Parkano,1970,255
Parkano,1980,523
Parkano,1990,842
Parkano,1995,958
Parkano,2000,1123
Parkano,2005,1163
Parkano,2010,1222
Parkano,2015,1256
Parkano,2020,1189
Parkano,2021,1188
Parkano,2022,1181
Pedersören kunta,1970,972
Pedersören kunta,1980,512
Pedersören kunta,1990,466
Pedersören kunta,1995,671
Pedersören kunta,2000,737
Pedersören kunta,2005,773
Pedersören kunta,2010,800
Pedersören kunta,2015,798
Pedersören kunta,2020,833
Pedersören kunta,2021,832
Pedersören kunta,2022,832
Pelkosenniemi,1970,27
Pelkosenniemi,1980,86
Pelkosenniemi,1990,315
Pelkosenniemi,1995,454
Pelkosenniemi,2000,543
Pelkosenniemi,2005,662
Pelkosenniemi,2010,690
Pelkosenniemi,2015,740
Pelkosenniemi,2020,825
Pelkosenniemi,2021,833
Pelkosenniemi,2022,844
Pello,1970,116
Pello,1980,325
Pello,1990,700
Pello,1995,797
Pello,2000,889
Pello,2005,1010
Pello,2010,1043
Pello,2015,1079
Pello,2020,1232
Pello,2021,1236
Pello,2022,1242
Perho,1970,40
Perho,1980,73
Perho,1990,163
Perho,1995,184
Perho,2000,216
Perho,2005,251
Perho,2010,246
Perho,2015,242
Perho,2020,278
Perho,2021,283
Perho,2022,283
Pertunmaa,1970,456
Pertunmaa,1980,811
Pertunmaa,1990,1462
Pertunmaa,1995,1544
Pertunmaa,2000,1616
Pertunmaa,2005,1698
Pertunmaa,2010,1805
Pertunmaa,2015,1841
Pertunmaa,2020,1808
Pertunmaa,2021,1799
Pertunmaa,2022,1799
Petäjävesi,1970,246
Petäjävesi,1980,389
Petäjävesi,1990,559
Petäjävesi,1995,642
Petäjävesi,2000,721
Petäjävesi,2005,764
Petäjävesi,2010,792
Petäjävesi,2015,782
Petäjävesi,2020,795
Petäjävesi,2021,791
Petäjävesi,2022,799
Pieksämäki,1970,910
Pieksämäki,1980,1536
Pieksämäki,1990,2478
Pieksämäki,1995,2712
Pieksämäki,2000,2861
Pieksämäki,2005,2965
Pieksämäki,2010,3046
Pieksämäki,2015,3160
Pieksämäki,2020,3069
Pieksämäki,2021,3081
Pieksämäki,2022,3068
Pielavesi,1970,229
Pielavesi,1980,530
Pielavesi,1990,1181
Pielavesi,1995,1398
Pielavesi,2000,1413
Pielavesi,2005,1473
Pielavesi,2010,1521
Pielavesi,2015,1504
Pielavesi,2020,1368
Pielavesi,2021,1368
Pielavesi,2022,1373
Pietarsaari,1970,388
Pietarsaari,1980,1053
Pietarsaari,1990,535
Pietarsaari,1995,586
Pietarsaari,2000,708
Pietarsaari,2005,1184
Pietarsaari,2010,1329
Pietarsaari,2015,1223
Pietarsaari,2020,1337
Pietarsaari,2021,1322
Pietarsaari,2022,1323
Pihtipudas,1970,211
Pihtipudas,1980,440
Pihtipudas,1990,702
Pihtipudas,1995,880
Pihtipudas,2000,952
Pihtipudas,2005,1019
Pihtipudas,2010,1037
Pihtipudas,2015,1035
Pihtipudas,2020,1000
Pihtipudas,2021,993
Pihtipudas,2022,997
Pirkkala,1970,364
Pirkkala,1980,271
Pirkkala,1990,376
Pirkkala,1995,404
Pirkkala,2000,465
Pirkkala,2005,413
Pirkkala,2010,441
Pirkkala,2015,474
Pirkkala,2020,452
Pirkkala,2021,455
Pirkkala,2022,443
Polvijärvi,1970,302
Polvijärvi,1980,638
Polvijärvi,1990,1115
Polvijärvi,1995,1279
Polvijärvi,2000,1355
Polvijärvi,2005,1409
Polvijärvi,2010,1443
Polvijärvi,2015,1454
Polvijärvi,2020,1468
Polvijärvi,2021,1468
Polvijärvi,2022,1468
Pomarkku,1970,313
Pomarkku,1980,453
Pomarkku,1990,640
Pomarkku,1995,681
Pomarkku,2000,745
Pomarkku,2005,779
Pomarkku,2010,831
Pomarkku,2015,865
Pomarkku,2020,905
Pomarkku,2021,907
Pomarkku,2022,908
Pori,1970,2369
Pori,1980,2705
Pori,1990,4039
Pori,1995,4260
Pori,2000,4765
Pori,2005,4760
Pori,2010,4947
Pori,2015,5143
Pori,2020,5141
Pori,2021,5185
Pori,2022,5206
Pornainen,1970,364
Pornainen,1980,360
Pornainen,1990,430
Pornainen,1995,504
Pornainen,2000,498
Pornainen,2005,466
Pornainen,2010,499
Pornainen,2015,500
Pornainen,2020,475
Pornainen,2021,479
Pornainen,2022,483
Porvoo,1970,2537
Porvoo,1980,2294
Porvoo,1990,2860
Porvoo,1995,2999
Porvoo,2000,3242
Porvoo,2005,3219
Porvoo,2010,3701
Porvoo,2015,3692
Porvoo,2020,3668
Porvoo,2021,3680
Porvoo,2022,3694
Posio,1970,244
Posio,1980,663
Posio,1990,1508
Posio,1995,1858
Posio,2000,2135
Posio,2005,2340
Posio,2010,2432
Posio,2015,2533
Posio,2020,2642
Posio,2021,2645
Posio,2022,2661
Pudasjärvi,1970,343
Pudasjärvi,1980,845
Pudasjärvi,1990,2052
Pudasjärvi,1995,2564
Pudasjärvi,2000,2733
Pudasjärvi,2005,3068
Pudasjärvi,2010,3227
Pudasjärvi,2015,3382
Pudasjärvi,2020,3656
Pudasjärvi,2021,3710
Pudasjärvi,2022,3766
Pukkila,1970,85
Pukkila,1980,108
Pukkila,1990,240
Pukkila,1995,322
Pukkila,2000,303
Pukkila,2005,297
Pukkila,2010,302
Pukkila,2015,306
Pukkila,2020,247
Pukkila,2021,242
Pukkila,2022,243
Punkalaidun,1970,199
Punkalaidun,1980,309
Punkalaidun,1990,472
Punkalaidun,1995,496
Punkalaidun,2000,528
Punkalaidun,2005,518
Punkalaidun,2010,528
Punkalaidun,2015,549
Punkalaidun,2020,493
Punkalaidun,2021,495
Punkalaidun,2022,497
Puolanka,1970,145
Puolanka,1980,461
Puolanka,1990,926
Puolanka,1995,1188
Puolanka,2000,1279
Puolanka,2005,1462
Puolanka,2010,1512
Puolanka,2015,1550
Puolanka,2020,1511
Puolanka,2021,1515
Puolanka,2022,1522
Puumala,1970,650
Puumala,1980,1431
Puumala,1990,2126
Puumala,1995,2733
Puumala,2000,2903
Puumala,2005,3377
Puumala,2010,3462
Puumala,2015,3622
Puumala,2020,3998
Puumala,2021,4002
Puumala,2022,4023
Pyhtää,1970,762
Pyhtää,1980,932
Pyhtää,1990,1265
Pyhtää,1995,1374
Pyhtää,2000,1570
Pyhtää,2005,1629
Pyhtää,2010,1772
Pyhtää,2015,1827
Pyhtää,2020,1979
Pyhtää,2021,1985
Pyhtää,2022,1985
Pyhäjoki,1970,315
Pyhäjoki,1980,380
Pyhäjoki,1990,547
Pyhäjoki,1995,653
Pyhäjoki,2000,691
Pyhäjoki,2005,714
Pyhäjoki,2010,723
Pyhäjoki,2015,738
Pyhäjoki,2020,713
Pyhäjoki,2021,716
Pyhäjoki,2022,719
Pyhäjärvi,1970,273
Pyhäjärvi,1980,438
Pyhäjärvi,1990,854
Pyhäjärvi,1995,963
Pyhäjärvi,2000,968
